model,configuration_id,folds,mean_average_precision,std_average_precision,minimum_average_precision,mean_roc_auc,std_roc_auc,mean_log_loss,std_log_loss,total_fit_seconds,family_rank,learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,l2_regularization,max_depth,max_features,class_weight
HistGradientBoosting,HistGradientBoosting_C06,3,0.1477335964199851,0.006761812141676325,0.13882670760047922,0.5739934577202491,0.011440682753495177,0.35812629030310017,0.01060303491722319,3.715152200005832,4.0,0.06,250.0,31.0,50.0,1.0,,,
HistGradientBoosting,HistGradientBoosting_C02,3,0.14705991666126875,0.006753721583499674,0.13854533528353846,0.5713228830820124,0.010278794473227743,0.36026020169510203,0.01152369715372283,2.441402199998265,5.0,0.1,150.0,31.0,50.0,1.0,,,
HistGradientBoosting,HistGradientBoosting_C03,3,0.14680734479193863,0.0018560722170080969,0.14424261136645983,0.571515518375386,0.0038103766390443303,0.35532160779798266,0.007345543594656035,1.6813849999889499,6.0,0.1,150.0,15.0,20.0,1.0,,,
HistGradientBoosting,HistGradientBoosting_C09,3,0.14672388601663766,0.0023740143662269804,0.14363855774117568,0.5702411424414521,0.004870430642539092,0.3564175791942236,0.008537713151283677,6.0514914999948815,7.0,0.03,400.0,31.0,20.0,0.0,,,
HistGradientBoosting,HistGradientBoosting_C12,3,0.14488400222542855,0.007848747264364051,0.13378707167535042,0.5675019845320636,0.013459561589153885,0.36203601843322025,0.012218973753854261,15.24750270001823,8.0,0.03,400.0,63.0,50.0,5.0,,,
HistGradientBoosting,HistGradientBoosting_C05,3,0.14462573336421888,0.005688974262501692,0.1366097973639091,0.567372933758658,0.012449792797564994,0.3595687263584577,0.011248810953366987,3.824167500017211,9.0,0.06,250.0,31.0,20.0,0.0,,,
HistGradientBoosting,HistGradientBoosting_C04,3,0.14292185215089817,0.0040214484102323355,0.1394095901016586,0.565995445230233,0.006161975114814654,0.36984526623851477,0.013370234777759294,4.410764000014751,10.0,0.1,150.0,63.0,20.0,1.0,,,
HistGradientBoosting,HistGradientBoosting_C01,3,0.14153003815991383,0.0027415698711247822,0.13791317234650208,0.564202099751888,0.009655839852429838,0.3621738840478772,0.009864237620705946,2.5952995999978157,11.0,0.1,150.0,31.0,20.0,0.0,,,
HistGradientBoosting,HistGradientBoosting_C08,3,0.14110866156254756,0.004905600062550154,0.13434494067308836,0.5621547690425364,0.008928718490793325,0.3659645947939434,0.012715312668521616,7.724923599991598,12.0,0.06,250.0,63.0,20.0,5.0,,,
LogisticRegression_unweighted,stage6_selected_pipeline,3,0.15499554048662015,0.0018776822845745606,0.1535779141568819,0.5882773751244459,0.004945772230863861,0.3507040648628807,0.0059260113475951065,0.6720761000033235,,,,,,,,,
