model,split,rows,positives,prevalence,average_precision,roc_auc,log_loss,configuration_id,fold,train_weeks,validation_week,fit_seconds,predict_seconds,minimum_probability,maximum_probability
ExtraTrees,temporal_validation_week_6,4241,473,0.11153029945767508,0.15214284475760342,0.5967258498179843,0.3446052587331284,ExtraTrees_C10,3,"1, 2, 3, 4, 5",6,1.1626066000026185,0.08848569999099709,0.04478740368449264,0.2958908131462222
ExtraTrees,temporal_validation_week_4,4733,557,0.11768434396788506,0.1465529179604979,0.5835121786802588,0.47526656831975694,ExtraTrees_C11,1,"1, 2, 3",4,1.0873649999994086,0.11257210001349449,0.04818630000577649,0.6258789472456303
ExtraTrees,temporal_validation_week_5,4681,528,0.11279641102328562,0.14395914115885203,0.5776040868594444,0.47940931153717925,ExtraTrees_C11,2,"1, 2, 3, 4",5,1.348926599996048,0.10020579998672474,0.0443855487929369,0.6505387874788916
ExtraTrees,temporal_validation_week_6,4241,473,0.11153029945767508,0.13887387853093483,0.5745579779426617,0.4868001116630328,ExtraTrees_C11,3,"1, 2, 3, 4, 5",6,1.7659303999971598,0.09900909999851137,0.06186354646226306,0.653122208080862
ExtraTrees,temporal_validation_week_4,4733,557,0.11768434396788506,0.14363501464264206,0.5784438907117357,0.4264294041039785,ExtraTrees_C12,1,"1, 2, 3",4,2.900364899993292,0.13409089999913704,0.014677144320647711,0.731277931043559
ExtraTrees,temporal_validation_week_5,4681,528,0.11279641102328562,0.13997006101159892,0.5690482965946487,0.4282211315493828,ExtraTrees_C12,2,"1, 2, 3, 4",5,4.05936240000301,0.15787539999291766,0.02060157540310057,0.5895143762286251
ExtraTrees,temporal_validation_week_6,4241,473,0.11153029945767508,0.1348696552478355,0.5675657478353375,0.43234263481075724,ExtraTrees_C12,3,"1, 2, 3, 4, 5",6,5.277169900000445,0.13294689999020193,0.026841444311767302,0.6164062908612141
HistGradientBoosting,temporal_validation_week_4,4733,557,0.11768434396788506,0.13791317234650208,0.5579764164895411,0.3760486546431913,HistGradientBoosting_C01,1,"1, 2, 3",4,0.8980622999952175,0.02362939999147784,0.004665136179894075,0.7699866281543551
HistGradientBoosting,temporal_validation_week_5,4681,528,0.11279641102328562,0.14454802441526488,0.5778403162372582,0.35649062452229424,HistGradientBoosting_C01,2,"1, 2, 3, 4",5,0.8142296000005445,0.022164499998325482,0.0024333201380677062,0.5810790173516099
HistGradientBoosting,temporal_validation_week_6,4241,473,0.11153029945767508,0.14212891771797453,0.5567895665288645,0.353982372978146,HistGradientBoosting_C01,3,"1, 2, 3, 4, 5",6,0.8830077000020538,0.02016090000688564,0.0032227634588470467,0.6747671495684051
HistGradientBoosting,temporal_validation_week_4,4733,557,0.11768434396788506,0.13854533528353846,0.5576685961328133,0.37630671731783805,HistGradientBoosting_C02,1,"1, 2, 3",4,0.7666312999936054,0.02444890000333544,0.004122192313084418,0.7134248736326685
HistGradientBoosting,temporal_validation_week_5,4681,528,0.11279641102328562,0.14756946658900183,0.5824686790855825,0.354701775807628,HistGradientBoosting_C02,2,"1, 2, 3, 4",5,0.8202191000018502,0.024641500000143424,0.006555860975402398,0.6000626427329914
HistGradientBoosting,temporal_validation_week_6,4241,473,0.11153029945767508,0.15506494811126592,0.5738313740276413,0.3497721119598401,HistGradientBoosting_C02,3,"1, 2, 3, 4, 5",6,0.8545518000028096,0.02204179999534972,0.0075801559909386505,0.5830329814666366
HistGradientBoosting,temporal_validation_week_4,4733,557,0.11768434396788506,0.14424261136645983,0.5690824545836,0.36538267118303186,HistGradientBoosting_C03,1,"1, 2, 3",4,0.4954079999879468,0.020344000004115514,0.015203214084003106,0.6654644199241169
